nose length,right_ear length,left_ear length,weight
0.751139369,0.810071663,0.782521611,0
0.755535275,0.813539919,0.781970344,0
0.762827962,0.819214744,0.78942333,0
0.767196148,0.818593332,0.786854191,0
0.764260348,0.817214893,0.788227778,0
0.760858982,0.815264013,0.786758551,0
0.764760962,0.819645575,0.791098082,0
0.765030029,0.816731875,0.792520413,0
0.770602443,0.822785505,0.798230655,0
0.774361741,0.824385075,0.799184573,0
0.780452803,0.830776191,0.805469378,0
0.77823944,0.830957318,0.802774992,0
0.776211871,0.829669095,0.800927823,0
0.781166733,0.832897081,0.803985779,0
0.783879852,0.836660459,0.808018102,0
0.772711691,0.828693597,0.79792029,0
0.784710798,0.836787337,0.812407318,0
0.772253543,0.826551783,0.801208858,0
0.768341223,0.823662755,0.797244477,0
0.760491794,0.818767845,0.792391844,0
0.754830941,0.812136963,0.78470443,0
0.759542651,0.813104515,0.78242585,0
0.751154619,0.810133652,0.781508192,0
0.754540714,0.813980183,0.780092663,0
0.759818309,0.817577639,0.784759642,0
0.769186862,0.825761235,0.79293326,0
0.767406005,0.82466207,0.790464509,0
0.76394262,0.819906391,0.789188094,0
0.771247393,0.821764632,0.791644762,0
0.769223999,0.823278195,0.790572954,0
0.77115919,0.82613125,0.789929397,0
0.767365662,0.823286807,0.785910031,0
0.767557706,0.822123352,0.785907292,0
0.770855258,0.826894252,0.784083105,0
0.773975988,0.830242922,0.786683111,0
0.761560661,0.822891033,0.779042306,0
0.757636362,0.820316321,0.775503011,0
0.76770473,0.828385769,0.782688144,0
0.782997067,0.83752762,0.795731429,0
0.786965027,0.838792354,0.793308086,0
0.800206964,0.846912414,0.799803838,0
0.800263438,0.847745128,0.799871214,0
0.797457433,0.847098592,0.797912947,0
0.789355956,0.839644107,0.793735884,0
0.791562962,0.842092714,0.796229885,0
0.791562493,0.841865094,0.796952489,0
0.786645291,0.839248139,0.793980072,0
0.784302393,0.837118976,0.793367099,0
0.778515214,0.830495107,0.788521763,0
0.800809016,0.854154997,0.810218399,0
0.785762239,0.837865343,0.796736748,0
0.78297008,0.834389447,0.792648166,0
0.788770899,0.835990695,0.794843946,0
0.791549881,0.835745482,0.794512589,0
0.79102474,0.835996538,0.793096163,0
0.791177535,0.834087335,0.794832093,0
0.791408621,0.833229982,0.796444126,0
0.794825258,0.835511774,0.799468944,0
0.795414736,0.836146254,0.800061188,0
0.794688371,0.835752197,0.798858052,0
0.803158028,0.841747347,0.807497517,0
0.807464949,0.847219628,0.812320251,0
0.80310079,0.844989543,0.807020042,0
0.795700744,0.841990055,0.798502175,0
0.796811434,0.843457004,0.799180047,0
0.799177037,0.844376188,0.798810909,0
0.800942645,0.846434674,0.800694544,0
0.800679907,0.846960132,0.800447691,0
0.802071178,0.84717111,0.80447323,0
0.809412713,0.855141365,0.812257511,0
0.81507891,0.859385446,0.817833366,0
0.804303383,0.852755232,0.804708844,0
0.797634234,0.845801083,0.799061205,0
0.793451187,0.844661793,0.796852573,0
0.793755442,0.845021929,0.792625942,0
0.794233569,0.845773642,0.791733774,0
0.791406855,0.844069943,0.793079601,0
0.789091369,0.839801618,0.793011295,0
0.79747975,0.844880532,0.80152573,0
0.782791872,0.832845918,0.789892664,0
